Code,Name,Path,Level
09800,اداره كل تصفيه و امور ورشكستگي قوه قضاييه,اداره كل تصفيه و امور ورشكستگي قوه قضاييه,1
09810,اداره تصفيه امور ورشكستگي استان تهران,اداره كل تصفيه و امور ورشكستگي قوه قضاييه > اداره تصفيه امور ورشكستگي استان تهران,2
00198,دادگستري كل استان آذربايجان شرقي,دادگستري كل استان آذربايجان شرقي,1
00705,حوزه قضايي  بخش صوفيان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي  بخش صوفيان,2
43750,دادگاه عمومي و انقلاب بخش صوفيان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي  بخش صوفيان > دادگاه عمومي و انقلاب بخش صوفيان,3
65290,شوراي حل اختلاف بخش صوفيان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي  بخش صوفيان > شوراي حل اختلاف بخش صوفيان,3
65370,حوزه قضايي بخش آبش احمد,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش آبش احمد,2
65371,دادگاه عمومي و انقلاب  بخش آبش احمد,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش آبش احمد > دادگاه عمومي و انقلاب  بخش آبش احمد,3
65440,شوراي حل اختلاف آبش احمد,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش آبش احمد > شوراي حل اختلاف آبش احمد,3
00709,حوزه قضايي بخش ايلخچي,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش ايلخچي,2
43950,دادگاه عمومي و انقلاب بخش ايلخچي,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش ايلخچي > دادگاه عمومي و انقلاب بخش ايلخچي,3
65460,شوراي حل اختلاف بخش ايلخچي,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش ايلخچي > شوراي حل اختلاف بخش ايلخچي,3
00701,حوزه قضايي بخش تسوج,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش تسوج,2
43550,دادگاه عمومي و انقلاب بخش تسوج,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش تسوج > دادگاه عمومي و انقلاب بخش تسوج,3
65470,شوراي حل اختلاف بخش تسوج,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش تسوج > شوراي حل اختلاف بخش تسوج,3
00710,حوزه قضايي بخش خاروانا,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خاروانا,2
44000,دادگاه عمومي و انقلاب بخش خاروانا,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خاروانا > دادگاه عمومي و انقلاب بخش خاروانا,3
65320,شوراي حل اختلاف بخش خاروانا,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خاروانا > شوراي حل اختلاف بخش خاروانا,3
00703,حوزه قضايي بخش خسروشاه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خسروشاه,2
43650,دادگاه عمومي و انقلاب بخش خسروشاه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خسروشاه > دادگاه عمومي و انقلاب بخش خسروشاه,3
65280,شوراي حل اختلاف بخش خسروشاه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خسروشاه > شوراي حل اختلاف بخش خسروشاه,3
00704,حوزه قضايي بخش خواجه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خواجه,2
43700,دادگاه عمومي و انقلاب بخش خواجه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خواجه > دادگاه عمومي و انقلاب بخش خواجه,3
65450,شوراي حل اختلاف خواجه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش خواجه > شوراي حل اختلاف خواجه,3
65380,حوزه قضايي بخش سراجو,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش سراجو,2
65381,دادگاه عمومي و انقلاب  بخش سراجو,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش سراجو > دادگاه عمومي و انقلاب  بخش سراجو,3
65387,شوراي حل اختلاف بخش سراجو,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش سراجو > شوراي حل اختلاف بخش سراجو,3
00706,حوزه قضايي بخش گوگان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش گوگان,2
43800,دادگاه عمومي و انقلاب بخش گوگان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش گوگان > دادگاه عمومي و انقلاب بخش گوگان,3
65560,شوراي حل اختلاف گوگان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش گوگان > شوراي حل اختلاف گوگان,3
44090,حوزه قضايي بخش ممقان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش ممقان,2
44091,دادگاه عمومي و انقلاب بخش ممقان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش ممقان > دادگاه عمومي و انقلاب بخش ممقان,3
65300,شوراي حل اختلاف بخش ممقان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش ممقان > شوراي حل اختلاف بخش ممقان,3
00707,حوزه قضايي بخش مهربان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش مهربان,2
43850,دادگاه عمومي و انقلاب بخش مهربان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش مهربان > دادگاه عمومي و انقلاب بخش مهربان,3
65330,شوراي حل اختلاف بخش مهربان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش مهربان > شوراي حل اختلاف بخش مهربان,3
64085,حوزه قضايي بخش يامچي,دادگستري كل استان آذربايجان شرقي > حوزه قضايي بخش يامچي,2
